mid,message,sentiment
4260723641694170,奥迪a5 b8.5 awe中尾段双边四出排气，声音迷人，价格美丽，更重要是有现货，欢迎咨询,6
4261718659900940,【大康·福盈门】户户观景，159-179平奢居纯大户??观景奢宅??缺稀货源????先来先得????中心观景 与您共赏????观山：莲花山、笔架山??观林：公园森林、红树林??观湖：中心公园、香港湿地公园??观城：璀璨的城市景观！15889351682,6
4260929518031150,在美业里。一款塑身衣全国统一488。看似便宜，它却给你带来信任，引流的最后方法。开美容院最开心的事———-是把对面家美容院的顾客吸引到我家做最忠实的顾客。因为她在对面家买的塑身衣10多万。[呲牙],6
4262186828300320,"#世界杯##世界杯吐槽大会#【法国vs克罗地亚，谁将最终捧得金杯】法国夺冠,梦回98年法兰西之夏",6
4259859102858720,大量美衣美包 加微信,6
4261767239085130,#佛山婚纱摄影哪家好#择一城终老不如择一人终老；深圳婚??[赞啊]纱摄??[赞啊]影工作室婚??[赞啊]纱照选一人去爱不如选一人真爱。人的知足因为有爱，广州婚??[赞啊]纱摄??[赞啊]影工作室婚??[赞啊]纱照人的幸福因为陪伴，人的满足因为一直都在。相爱的心，暖暖而又温馨；相牵的手，执着而又坚定,6
4260166931030520,秘?【早安分享护肤小常识】 ———大多数仙女认为夏季护肤重点就是美白防晒控油，以为保湿是秋冬季的事??其实，夏季皮肤补水保湿同样重要??夏日里空气干燥度虽然不及秋冬季，空调房里进进出出的，肌肤缺水也很严重，所以夏日同样要做好保湿工作哦[耶],6
4261023718122620,华夏常青树（多倍版）上市啦！华夏保险常青树多倍版赔付7.9倍重症 赔付6次   每次赔100%中症赔付2次    每次赔50%轻疾赔付3次     每次赔付30%超级无敌。,6
4260904184338240,想要做全瓷牙、牙贴面的朋友，好消息！这个周末，来美莱口腔免费体验dsd微笑设计，11项美学标准，为您打造明星级美齿！只需要半个小时，就能看到您的美齿效果哦！,6
4259898060159000,看新闻赚零花钱微信扫描二维码扫描下载注册床上躺着就看新闻赚钱，这个软件不错哦！ 马上下载马上赚钱哦！邀请码a17080651  网页链接,6
4260989370968950,????你用你的瘦脸针 抽脂术！我用我的佰草之谜?水晶板！不是很贵！但是紧致提升瘦脸！纯植物提取精华安全无副作用只需??298元,6
4261001534940510,做微商掌握好方法出单都很容易，男人的烟酒都是成箱成件的买，更何况是女人每个月都要用五到七天的卫生巾呢[阴险],6
4260240617308920,????为什么吃饼干会瘦呢？??以下是酥咔减脂饼干的四大主要成份饼干??里有59种营养素及脂肪代谢所需的38种酶和辅酶。  酶是分解脂肪的，就是让你分解多余的脂肪，不仅仅是皮下脂肪，内脏脂肪！还有管道脂肪！,6
4261449008509940,我们的技术，我只拿结果说事！就是自然无痕，当天做当天美，不打针不注射不开刀没有恢复期！信不信由你！我在这里等你,6
4261746963842630,淘票票给你发红包啦！快来领淘票票现金红包，最高88元！复制此消息(德7俊u文忆耀巧霆5静亮晟)，打开淘票票或者支付宝，参与活动即可领取,6
4262046801574680,【宝贝名称】轻便尼龙双肩包女韩版防水牛津布背包简约双肩韩时尚潮旅行包防盗原价：99.00元优惠价：79.00元【优惠信息】优惠券：20元券【购买方式】长按复制本文，打开【手机app】立即购买??2lonbaxbssu??  ????,6
4260714447722740,"夏天必备款tst保湿水
 °???????????????? ??°
我又用完一瓶再开一瓶@tst达尔威销创平台--林大哥 @张庭",6
4262072739227440,#tst庭秘密活酵母免费招代理#?tst免费申请会员?[酷]活动一开始，小伙伴们就是出单出单，九宫格根本放不下大家的热情啊[鼓掌]欢迎加入tst，0元创业，明星老板，专业团队培训，创建自己的团队，成功近在咫尺[并不简单],6
4261357823803950,生物酶有多神？新京报报道说，北京东护城河段现百米“红油”，水务部门喷洒生物酶降解油污。因为生物酶不仅除臭祛油效果好，而且不会污染环境哦??卫小沐生物酶系列要不要了解一下??网页链接,6
4260572570454810,淘票票给你发红包啦！快来领淘票票现金红包，最高88元！复制此消息(领麒曦依宸lc巧迅霆霆垚翰)，打开淘票票或者支付宝，参与活动即可领取,6
4260147406310640,#微博抓娃娃分享有奖#这个【卷卷公主yellow】超火的，快来秀一波抓娃娃技能。上微博，抓娃娃,6
4260973273417550,打开支付宝首页搜索“520369213”，即可领红包，这是个秘密,6
4260157099464330,如何代理tst品牌产品？加入tst需要拿货吗？不需要！加入tst需要代理费吗？不需要！加入tst需要保证金吗？不需要！只需要姓名?电话～你就可以和明星一起做生意??只需一部手机，就可以让你变美同时收获财富??,6
4260631886493300,扫码或在支付宝首页搜索“5957757”即可领取双份红包！保存二维码或搜索码每天领取一次双份红包！,6
4261382771526410,"【??艺尚禅绣.美甲课堂】
下午的雕花课程，同学们第一次的雕花练习成果，赞赞哒！
为什么要学习？?? 
理由很简单，我不想在以后的回忆里，都是厂服，厂帽加厂鞋
人生那么短暂，
不做井底之蛙，只想用自己更喜欢的方式感受不一样的精彩！！！
艺尚禅绣.纹绣美甲美睫培训学院，暑假班开课中?? ?? ?  展开全文",6
4261470404012600,【德沃玻尿酸的10大好处】??1、玻尿酸可以提亮肤色[色]??2、玻尿酸可以淡化黑色素[酷]??3、玻尿酸可以补水保湿[调皮]??4、玻尿酸可以淡化痘印[害羞]??5、玻尿酸可以收缩毛孔[愉快]??6、玻尿酸可以抗皱[鼓掌]??7、玻尿酸可以提拉紧致[强]??8、玻尿酸可以舒缓过敏[拳头]??9、玻尿酸可以修复基底细胞??10、玻尿酸可以深层净化。,6
4260968755700600,坚持穿慕色光波理疗内衣，（乳腺结节改善了）[耶]原来：乳腺增生+乳腺结节+腋窝淋巴结现检查：从4.0改善到3.0大小（一个月）so：继续购买自用+分享。,6
4261007981441410,新货，转运珠，免费设计[可爱],6
4260734697532150,#深圳爆料#古德菲力健身房。罗湖区岁宝店 操房今晚爆满。明天优惠活动走一波。下载钉钉了解健身的那些事儿，瑜伽舞蹈欢迎过来体验了解。周边朋友过来详细了解。地址深圳市罗湖区古德菲力健身房岁宝店。欢迎咨询陈小渔。,6
4262104645553600,北欧舒适家居来一波，喜欢的朋友们可以关注，不定期更新[心],6
4262069773149920,【便秘是癌症的种子】五天上一次厕所，叫重度便秘两三天上一次厕所，这个叫中度便秘一天上一次厕所就正常吗？不是的，食物进入体內16小时，沒有排出去，就会形成毒素向大大亲么[嘴唇]自然若果 ?? 海藻冻一条让你体验前所未有的顺畅！,6
4261382382157080,澜庭集小熊雨伞晴雨两用，??加v私聊获取免费领取方式????,6
4262121644705260,#世界杯吐槽大会# 香港代购、预约中港车及预约香港hpv三针，有需要的朋友欢迎联系我咨询！欢迎加我v号：654662649！ #一起去香港##水泡多肉##多肉##萌宠的世界##多肉植物##广州##肇庆##深圳##香港##北京##上海##沈阳##南京##西安##四川##重庆##杭州##浙江##江苏##江西##内蒙古#,6
4259933614072710,美牙仪零售? 1? ? 2? 9? 8?   之前的一个朋友咨询我美牙仪，她说犹豫了这么久还是决定要买，要是早买了说不定现在我的牙就白了。  做什么事最怕的是犹豫，你在想别人为啥有一口大白牙，而你也想要，光想是没用的，只要你主动，没有什么是不可能的。,6
4260207989147670,刺青shop 雨刺青工作室地址：深圳龙华民治水榭春天三期8栋二单元11b预约微信  96396643纹身图案#纹身tattoo##雨刺青工作室#刺青,6
4260932206840210,支付宝扫任意两个码可得三份红包！余额宝消费直接抵扣！,6
4261730051216570,妹妹的店上新了大家可以去看看，喜欢的话下单[鼓掌][鼓掌],6
